date,issue,step,measurement_state,dmm_mode,target,component,pin_or_node,reference_node,expected_or_check,measured_value,unit,input_condition,isolation_state,observation,operator_note,source_note
2026-06-22,issue_05,1,powered_on_short,dc_voltage,output_common_mode_control,ADA4932-1,Pin9 VOCM,GND,"Record actual output common-mode command; compare with intended ADC/VCM domain",0.908,V,no external input,R61/R62 isolated,"Measured. VOCM is consistent with the AD9269 VCM/common-mode domain; it does not explain the rail-side output pair.",user reported 2026-06-22,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,2,powered_on_short,dc_voltage,power_down_control,ADA4932-1,Pin12 PD,GND,"Compare with ADA4932-1 enabled/powered-down threshold for +VS=5.3 V",5.398,V,no external input,R61/R62 isolated,"Measured. Datasheet indicates enabled when PD is at least +VS-2.2 V; this level is consistent with enabled state.",user reported 2026-06-22,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,3,powered_on_short,dc_voltage,feedback_node,ADA4932-1,Pin1 -FB,GND,"Compare with Pin10 +OUT and Pin2 +IN",-3,V,no external input,R61/R62 isolated,"Measured. Feedback node is rail-side abnormal and must be interpreted with the input/feedback network.",user reported 2026-06-22,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,3,powered_on_short,dc_voltage,feedback_node,ADA4932-1,Pin4 +FB,GND,"Compare with Pin11 -OUT and Pin3 -IN",4,V,no external input,R61/R62 isolated,"Measured. Feedback node is rail-side abnormal and must be interpreted with the input/feedback network.",user reported 2026-06-22,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,4,powered_off,resistance,feedback_path,ADA4932_2,feedback path group 1,,"Check feedback path resistance and compare with opposite half",1,kohm,no external input,R61/R62 isolated,"Corrected measurement. Feedback path is present; symmetry argues against a simple single-side open feedback resistor.",user corrected 2026-06-22,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,4,powered_off,resistance,feedback_path,ADA4932_2,feedback path group 2,,"Check feedback path resistance and compare with opposite half",1,kohm,no external input,R61/R62 isolated,"Corrected measurement. Feedback path is present; symmetry argues against a simple single-side open feedback resistor.",user corrected 2026-06-22,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,5,powered_off,resistance,input_network,ADA4932-1,Pin2 +IN to upstream source,,"Check input network resistance and compare with Pin3 side",,ohm,no external input,R61/R62 isolated,"Power off only; identify upstream source before interpreting",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,5,powered_off,resistance,input_network,ADA4932-1,Pin3 -IN to upstream source,,"Check input network resistance and compare with Pin2 side",,ohm,no external input,R61/R62 isolated,"Power off only; identify upstream source before interpreting",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,6,powered_off,resistance,feedback_input_loading,ADA4932-1,Pin1 -FB to GND,,"Check whether feedback node has unexpected low-resistance pull to ground",,ohm,no external input,R61/R62 isolated,"Power off only; compare with Pin4 and symmetric channel",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,6,powered_off,resistance,feedback_input_loading,ADA4932-1,Pin4 +FB to GND,,"Check whether feedback node has unexpected low-resistance pull to ground",,ohm,no external input,R61/R62 isolated,"Power off only; compare with Pin1 and symmetric channel",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,6,powered_off,resistance,feedback_input_loading,ADA4932-1,Pin2 +IN to GND,,"Check whether input node has unexpected low-resistance pull to ground",,ohm,no external input,R61/R62 isolated,"Power off only; compare with Pin3 and symmetric channel",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,6,powered_off,resistance,feedback_input_loading,ADA4932-1,Pin3 -IN to GND,,"Check whether input node has unexpected low-resistance pull to ground",,ohm,no external input,R61/R62 isolated,"Power off only; compare with Pin2 and symmetric channel",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,7,powered_off,resistance,feedback_input_loading,ADA4932-1,Pin1/4/2/3 to +5.3V and -5.0V rails,,"Check for unexpected rail leakage or low-resistance clamp path",,ohm,no external input,R61/R62 isolated,"Power off only; record each pin separately in operator note",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,8,powered_off,resistance,feedback_input_loading,ADA4932-1,Pin1/4/2/3 to 1.82V and VCM domains,,"Check for unexpected loading to ADC rail/common-mode domains",,ohm,no external input,R61/R62 isolated,"Power off only; record each pin separately in operator note",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,9,powered_on_short,dc_voltage,symmetric_driver_reference,A-channel or symmetric ADA4932-1,Pin1/2/3/4/9/10/11/12,GND,"Compare B-side ADA4932-1 with a likely normal symmetric driver stage",,V,no external input,R61/R62 isolated,"Only if accessible and safe; record all pins with the same reference and input state",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,10,powered_off,continuity_or_resistance,reference_role_confirmation,other same-model ADA4932-1,Pin10/Pin11 outputs to downstream network,,"Confirm whether this chip drives an ADC input pair, a clamp network, or another range/function path",,ohm,no external input,R61/R62 isolated,"Power off only; do not assume it is a known-good symmetric reference before confirming physical endpoints",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,10,powered_off,continuity_or_resistance,reference_role_confirmation,other same-model ADA4932-1,Pin1/Pin4 feedback endpoints,,"Confirm whether 640 ohm feedback paths belong to the same topology as the suspected 2.217 kOhm paths",,ohm,no external input,R61/R62 isolated,"Power off only; record exact endpoint component labels or photo annotations if possible",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,11,powered_off,continuity_or_resistance,cascade_interstage_mapping,ADA4932_1 to ADA4932_2,ADA4932_1 Pin10/Pin11 to interstage resistors and relay contacts,,"Map exact downstream endpoints from upstream outputs through resistors/relay",,ohm,no external input,R61/R62 isolated,"Power off only; record component labels and whether each path reaches ADA4932_2 Pin2/Pin3 or Pin1/Pin4",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,12,powered_off,resistance,relay_contact_state,Interstage Omron relay,contact pins,,"Measure contact resistance in current unpowered state",,ohm,no external input,R61/R62 isolated,"Power off only; identify NO/NC/common if possible from continuity pattern",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,13,powered_off,resistance,relay_coil,Interstage Omron relay,coil pins,,"Measure relay coil resistance and identify control pins",,ohm,no external input,R61/R62 isolated,"Power off only; do not force the relay mechanically",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,14,powered_on_short,dc_voltage,relay_coil_drive,Interstage Omron relay,coil pins,GND,"Check whether relay is energized in the current input/range state",,V,no external input,R61/R62 isolated,"Powered voltage only; do not use resistance mode while powered",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,15,powered_on_short,dc_voltage,cascade_interstage_voltage,Interstage resistors/relay path,both sides of each ADA4932_1-to-ADA4932_2 series element,GND,"Determine whether rail-side ADA4932_1 outputs are actually applied to ADA4932_2 input/feedback nodes",,V,no external input,R61/R62 isolated,"Record each side separately; this is the key non-destructive split between upstream-drive and local ADA4932_2 fault",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,16,powered_on_short,dc_voltage,cascade_split_check,ADA4932_2,Pin2/Pin3/Pin1/Pin4/GND relation,GND,"Repeat ADA4932_2 input and feedback voltages while recording interstage path state",,V,no external input,R61/R62 isolated,"Interpret only together with relay/contact measurements",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,17,powered_on_short,dc_voltage,upstream_driver_state,ADA4932_1,Pin1/2/3/4/9/10/11/12 and supplies,GND,"Re-measure ADA4932_1 in the same instrument range/input state as the interstage voltage-gradient measurement",,V,no external input,R61/R62 isolated,"This checks whether ADA4932_1 remains the first rail-side active driver.",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,18,powered_off,continuity_or_resistance,upstream_input_mapping,ADA4932_1,Pin2/Pin3 upstream input paths,,"Map upstream resistors/relay contacts feeding ADA4932_1 inputs",,ohm,no external input,R61/R62 isolated,"Power off only; record both halves and compare symmetry.",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,19,powered_on_short,dc_voltage,upstream_voltage_gradient,ADA4932_1 upstream path,both sides of upstream input resistors/relay contacts,GND,"Determine whether ADA4932_1 is being forced rail-side by its own upstream network",,V,no external input,R61/R62 isolated,"Record each side separately; stop after minimum measurements.",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,20,powered_off,continuity_or_resistance,b8a_to_ada4932_1_mapping,B8A / AD8512,B8A Pin1 OUT A to ADA4932_1 input/feedback network,,"Map all series resistors relay contacts and endpoints from B8A OUT A",,ohm,no external input,R61/R62 isolated,"Power off only; determine whether this path reaches ADA4932_1 Pin2/Pin3 or Pin1/Pin4.",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,20,powered_off,continuity_or_resistance,b8a_to_ada4932_1_mapping,B8A / AD8512,B8A Pin7 OUT B to ADA4932_1 input/feedback network,,"Map all series resistors relay contacts and endpoints from B8A OUT B",,ohm,no external input,R61/R62 isolated,"Power off only; compare with the OUT A half for symmetry.",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,21,powered_on_short,dc_voltage,b8a_to_ada4932_1_voltage_gradient,B8A / AD8512 to ADA4932_1,both sides of each B8A-to-ADA4932_1 series element,GND,"Check whether 1.26 V B8A outputs are transformed or interrupted before ADA4932_1 input/feedback nodes",,V,no external input,R61/R62 isolated,"Record each side separately; this is the key split between intermediate network fault and ADA4932_1 local failure.",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-22,issue_05,22,powered_on_short,dc_voltage,b8a_reference_repeat,B8A / AD8512,Pin1/2/3/4/5/6/7/8,GND,"Repeat B8A voltages in the exact same state as the ADA4932_1 measurements",,V,no external input,R61/R62 isolated,"Confirms B8A remains balanced while downstream stage is rail-side.",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-23,issue_05,23,powered_off,resistance,pin3_local_network_check,ADA4932_1,Pin3 -IN to GND/+VS/-VS/VOCM/Pin1/Pin4/Pin10/Pin11,,"Compare Pin3 local loading against Pin2 side",,ohm,no external input,R61/R62 isolated,"Power off only; record each target separately and compare with Pin2 symmetry reference.",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-23,issue_05,24,powered_off,diode_mode,pin3_local_network_check,ADA4932_1,Pin3 -IN to rails and nearby clamp/capacitor nodes,,"Look for asymmetric diode-like or leaky paths on Pin3 side",,Vf,no external input,R61/R62 isolated,"Power off only; compare polarity with Pin2 side.",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-23,issue_05,25,powered_on_short,dc_voltage,pin3_pull_check,ADA4932_1,B8A Pin7 path nodes and ADA4932_1 Pin3/GND,GND,"Confirm Pin3 remains pulled low while B8A Pin7 remains around 1.26 V",,V,no external input,R61/R62 isolated,"Short powered check only; record Pin2 path at same time as control.",,tasks/issue_05_trace_frontend_clamp_side.md
2026-06-23,issue_05,26,powered_off,isolation_candidate,pin3_series_resistor,Series resistor between B8A Pin7 and ADA4932_1 Pin3,,"If needed, lift one side of the small series resistor to split external path from ADA4932_1 Pin3",,N/A,no external input,R61/R62 isolated,"Do not perform until both pads/endpoints are documented; prefer lifting the B8A side or the clearly identified series element, not the IC pin.",,tasks/issue_05_trace_frontend_clamp_side.md
