date,issue,measurement_state,dmm_mode,target,component,pin_or_node,reference_node,measured_value,unit,input_condition,isolation_state,interpretation,operator_note,source_note
2026-06-22,issue_05,powered_on_short,dc_voltage,ada4932_output,ADA4932-1,Pin10 +OUT,GND,4,V,no external input,"R61/R62 isolated; clamp nodes traced through 50 ohm resistors","Positive output is far from the expected ADC-driver small-signal/common-mode operating point and is driving the upper clamp branch through about 50 ohm.","User reported +4 V at Pin10/Pin11 pair; pin function verified from ADI-ADA4932-1.pdf.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,ada4932_output,ADA4932-1,Pin11 -OUT,GND,-3,V,no external input,"R61/R62 isolated; clamp nodes traced through 50 ohm resistors","Negative output is far from the expected ADC-driver small-signal/common-mode operating point and is driving the lower clamp branch through about 50 ohm.","User reported -3 V at Pin10/Pin11 pair; pin function verified from ADI-ADA4932-1.pdf.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,ada4932_input,ADA4932-1,Pin2 +IN,GND,0.647,V,no external input,"R61/R62 isolated","Input summing-node voltage; must be interpreted with feedback network, VOCM, supplies, and PD state.","User reported 0.647 V.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,ada4932_input,ADA4932-1,Pin3 -IN,GND,0.259,V,no external input,"R61/R62 isolated","Input summing-node voltage; must be interpreted with feedback network, VOCM, supplies, and PD state.","User reported 0.259 V.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,clamp_node_relation,frontend_network,H_node after 50 ohm clamp side,GND,2.54,V,no external input,"R61/R62 isolated","Clamp node is about one diode drop above 1.82 V while ADA4932 Pin10 side is about +4 V; 50 ohm resistor limits current into the clamp.","Previously reported clamp node voltage.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,clamp_node_relation,frontend_network,L_node after 50 ohm clamp side,GND,-0.72,V,no external input,"R61/R62 isolated","Clamp node is about one diode drop below 0 V while ADA4932 Pin11 side is about -3 V; 50 ohm resistor limits current into the clamp.","Previously reported clamp node voltage.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,ada4932_supply,ADA4932-1,Pins5-8 +VS,GND,5.3,V,no external input,"R61/R62 isolated","Positive supply is present; output +4 V is within supply rails but far from expected ADC-driver operating point.","User reported +5.3 V supply.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,ada4932_supply,ADA4932-1,Pins13-16 -VS,GND,-5.0,V,no external input,"R61/R62 isolated","Negative supply is present; output -3 V is within supply rails but far from expected ADC-driver operating point.","User reported -5.0 V supply.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,ada4932_feedback_node,ADA4932-1,Pin1 -FB,GND,-3,V,no external input,"R61/R62 isolated","Feedback pin is rail-side abnormal and does not look like a small-signal linear feedback condition; interpret with the measured feedback resistor symmetry and input network.","User reported Pin1/Pin4/Pin9/Pin12 voltages in order: -3 V, +4 V, 0.908 V, 5.398 V.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,ada4932_feedback_node,ADA4932-1,Pin4 +FB,GND,4,V,no external input,"R61/R62 isolated","Feedback pin is rail-side abnormal and does not look like a small-signal linear feedback condition; interpret with the measured feedback resistor symmetry and input network.","User reported Pin1/Pin4/Pin9/Pin12 voltages in order: -3 V, +4 V, 0.908 V, 5.398 V.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,ada4932_common_mode_control,ADA4932-1,Pin9 VOCM,GND,0.908,V,no external input,"R61/R62 isolated","VOCM is consistent with the AD9269 VCM domain around 0.9 V; output saturation is therefore not explained by an obviously wrong output common-mode command.","User reported Pin1/Pin4/Pin9/Pin12 voltages in order: -3 V, +4 V, 0.908 V, 5.398 V.",user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,ada4932_power_down_control,ADA4932-1,Pin12 PD,GND,5.398,V,no external input,"R61/R62 isolated","With +VS about 5.3 V, the ADA4932-1 datasheet indicates PD enabled threshold is at least +VS minus 2.2 V, so this level is consistent with enabled rather than powered down.","User reported Pin1/Pin4/Pin9/Pin12 voltages in order: -3 V, +4 V, 0.908 V, 5.398 V.",user message 2026-06-22
2026-06-22,issue_05,powered_off,resistance,ada4932_feedback_path,ADA4932_2,Feedback path group 1,,1,kohm,no external input,"R61/R62 isolated","Corrected feedback path value. Symmetry argues against a simple open feedback resistor in this path.","User corrected feedback resistors: both chips' four feedback resistors are 1 kOhm.",user message 2026-06-22
2026-06-22,issue_05,powered_off,resistance,ada4932_feedback_path,ADA4932_2,Feedback path group 2,,1,kohm,no external input,"R61/R62 isolated","Corrected feedback path value. Symmetry argues against a single-side feedback resistor open fault.","User corrected feedback resistors: both chips' four feedback resistors are 1 kOhm.",user message 2026-06-22
