date,issue,measurement_state,dmm_mode,target,component,pin_or_node,reference_node,measured_value,unit,input_condition,isolation_state,interpretation,operator_note,source_note
2026-06-22,issue_05,powered_on_short,dc_voltage,same_model_driver_reference,ADA4932-1 other same-model chip,Pin1 -FB,GND,4.22,V,no external input,R61/R62 isolated,"Same-model chip reference candidate. Do not treat as a known-good symmetric reference until its circuit role is confirmed.",User reported another same-model chip pin voltages.,user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,same_model_driver_reference,ADA4932-1 other same-model chip,Pin2 +IN,GND,1.31,V,no external input,R61/R62 isolated,"Input node differs from the suspected stage and may indicate a different configured gain or operating point.",User reported another same-model chip pin voltages.,user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,same_model_driver_reference,ADA4932-1 other same-model chip,Pin3 -IN,GND,-0.45,V,no external input,R61/R62 isolated,"Input node differs from the suspected stage and may indicate a different configured gain or operating point.",User reported another same-model chip pin voltages.,user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,same_model_driver_reference,ADA4932-1 other same-model chip,Pin4 +FB,GND,-3.41,V,no external input,R61/R62 isolated,"Feedback node is also rail-side, but polarity is opposite to the suspected stage.",User reported another same-model chip pin voltages.,user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,same_model_driver_reference,ADA4932-1 other same-model chip,Pins5-8 +VS,GND,5.4,V,no external input,R61/R62 isolated,"Positive supply is close to the suspected stage positive supply.",User reported another same-model chip pin voltages.,user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,same_model_driver_reference,ADA4932-1 other same-model chip,Pin9 VOCM,GND,0,V,no external input,R61/R62 isolated,"VOCM differs strongly from the suspected stage value 0.908 V; this chip is likely not in the same ADC-common-mode driver role or is under a different operating condition.",User reported another same-model chip pin voltages.,user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,same_model_driver_reference,ADA4932-1 other same-model chip,Pin10 +OUT,GND,-3.41,V,no external input,R61/R62 isolated,"Output is rail-side with opposite polarity compared with the suspected stage Pin10 +OUT = +4 V.",User reported another same-model chip pin voltages.,user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,same_model_driver_reference,ADA4932-1 other same-model chip,Pin11 -OUT,GND,4.22,V,no external input,R61/R62 isolated,"Output is rail-side with opposite polarity compared with the suspected stage Pin11 -OUT = -3 V.",User reported another same-model chip pin voltages.,user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,same_model_driver_reference,ADA4932-1 other same-model chip,Pin12 PD,GND,5.398,V,no external input,R61/R62 isolated,"PD is consistent with enabled state, similar to the suspected stage.",User reported another same-model chip pin voltages.,user message 2026-06-22
2026-06-22,issue_05,powered_on_short,dc_voltage,same_model_driver_reference,ADA4932-1 other same-model chip,Pins13-16 -VS,GND,-4.6,V,no external input,R61/R62 isolated,"Negative supply is present but differs from the suspected stage -5.0 V.",User reported another same-model chip pin voltages.,user message 2026-06-22
2026-06-22,issue_05,powered_off,resistance,same_model_driver_reference,ADA4932_1,Pin4 +FB to Pin11 -OUT,,1,kohm,no external input,R61/R62 isolated,"Corrected feedback path value. Feedback values now match ADA4932_2; this chip remains an upstream stage rather than an independent known-good reference.",User corrected feedback resistors: both chips' four feedback resistors are 1 kOhm.,user message 2026-06-22
2026-06-22,issue_05,powered_off,resistance,same_model_driver_reference,ADA4932_1,Pin1 -FB to Pin10 +OUT,,1,kohm,no external input,R61/R62 isolated,"Corrected feedback path value. Feedback values now match ADA4932_2; this chip remains an upstream stage rather than an independent known-good reference.",User corrected feedback resistors: both chips' four feedback resistors are 1 kOhm.,user message 2026-06-22
2026-06-22,issue_05,visual_trace,role_update,cascade_role,ADA4932_1,role relative to ADA4932_2,,upstream stage,,no external input,R61/R62 isolated,"This chip is now confirmed by user tracing to be upstream of ADA4932_2 through resistors and relays, not an independent known-good symmetric reference.","Use with cascade topology file when interpreting.",user message 2026-06-22
